@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary {'Number of leaves: 14\nSize of the tree: 27\n','Number of leaves: 10\nSize of the tree: 19\n','Number of leaves: 11\nSize of the tree: 21\n','Number of leaves: 12\nSize of the tree: 23\n','Number of leaves: 9\nSize of the tree: 17\n','Number of leaves: 15\nSize of the tree: 29\n'}
@attribute measureOutOfBagError numeric
@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric
@attribute measureNumRules numeric

@data

kc1-class-level-numericdefect,10,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,20220726.1408,96,49,33,16,0,67.346939,32.653061,0,0.302491,0.302653,0.409178,62.401889,83.233977,47.815932,34.822799,12.993132,0.975835,0.710669,0.265166,17.780765,0.362873,37.185859,0.5,10,0.206897,6,0.793103,23,0.5,10,0.625,0.5,0.555556,0.307198,0.825862,0.754773,0.673469,0.380366,0.619634,0.326531,0.667594,0.673469,0.665862,0.307198,0.825862,0.840829,0.648746,0.673469,0.056,0.017,0.06,0,60,0,168023,82505,45422,97.959184,83.673469,?,-1,?,?,?
kc1-class-level-numericdefect,1,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20220726.1408,96,49,37,12,0,75.510204,24.489796,0,0.476868,0.247959,0.475732,51.124946,96.772241,47.815932,9675.018678,-9627.202746,0.975835,197.449361,-196.473525,23.166023,0.472776,48.448336,0.6,12,0.137931,4,0.862069,25,0.4,8,0.75,0.6,0.666667,0.484288,0.748276,0.63754,0.755102,0.293033,0.706967,0.244898,0.754484,0.755102,0.749397,0.484288,0.748276,0.70776,0.736559,0.755102,0.018,0.001,0.02,0,20,0,13183,82505,45422,81.632653,61.22449,'Number of leaves: 14\nSize of the tree: 27\n',?,27,14,14
kc1-class-level-numericdefect,2,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20220726.1408,95,50,36,14,0,72,28,0,0.432739,0.282833,0.488275,58.198628,98.917697,49.081342,4332.038403,-4282.957061,0.981627,86.640768,-85.659141,20.310262,0.406205,41.38082,0.714286,15,0.275862,8,0.724138,21,0.285714,6,0.652174,0.714286,0.681818,0.434167,0.78243,0.696413,0.72,0.281576,0.718424,0.28,0.725024,0.72,0.721364,0.434167,0.78243,0.74476,0.715909,0.72,0.01,0,0,0,0,0,11727,81716,46211,82,62,'Number of leaves: 10\nSize of the tree: 19\n',?,19,10,10
kc1-class-level-numericdefect,3,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20220726.1408,95,50,33,17,0,66,34,0,0.288107,0.34,0.578187,69.961816,117.13257,49.081342,15049.187786,-15000.106444,0.981627,300.983756,-300.002129,14.316213,0.286324,29.168341,0.52381,11,0.241379,7,0.758621,22,0.47619,10,0.611111,0.52381,0.564103,0.290408,0.651067,0.54127,0.66,0.37757,0.62243,0.34,0.655417,0.66,0.655284,0.290408,0.651067,0.615707,0.642707,0.66,0.011,0,0,0,0,0,11727,81716,46211,66,50,'Number of leaves: 10\nSize of the tree: 19\n',?,19,10,10
kc1-class-level-numericdefect,4,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20220726.1408,96,49,29,20,0,59.183673,40.816327,0,0.135802,0.414966,0.626557,85.229541,126.502478,48.336825,18266.754888,-18218.418063,0.986466,372.790916,-371.80445,6.702756,0.136791,13.86677,0.380952,8,0.25,7,0.75,21,0.619048,13,0.533333,0.380952,0.444444,0.14061,0.594388,0.467091,0.591837,0.460884,0.539116,0.408163,0.581513,0.591837,0.577573,0.14061,0.594388,0.566529,0.560932,0.591837,0.01,0.001,0.01,0,10,0,12091,82505,45422,65.306122,56.122449,'Number of leaves: 11\nSize of the tree: 21\n',?,21,11,11
kc1-class-level-numericdefect,5,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20220726.1408,95,50,39,11,0,78,22,0,0.551387,0.231,0.447996,47.532881,90.757635,49.081342,6460.865648,-6411.784306,0.981627,129.217313,-128.235686,25.683836,0.513677,52.329124,0.761905,16,0.206897,6,0.793103,23,0.238095,5,0.727273,0.761905,0.744186,0.551846,0.797209,0.734541,0.78,0.224992,0.775008,0.22,0.781883,0.78,0.780628,0.551846,0.797209,0.766849,0.775602,0.78,0.012,0,0.01,0,10,0,12455,81716,46211,88,62,'Number of leaves: 12\nSize of the tree: 23\n',?,23,12,12
kc1-class-level-numericdefect,6,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20220726.1408,96,49,31,18,0,63.265306,36.734694,0,0.284091,0.3689,0.583547,76.060821,118.703789,47.815932,10768.899092,-10721.08316,0.975835,219.773451,-218.797616,10.991533,0.224317,22.987177,0.75,15,0.448276,13,0.551724,16,0.25,5,0.535714,0.75,0.625,0.299665,0.650862,0.511565,0.632653,0.330929,0.669071,0.367347,0.669582,0.632653,0.633878,0.299665,0.650862,0.62452,0.6325,0.632653,0.01,0,0,0,0,0,12091,82505,45422,79.591837,66.326531,'Number of leaves: 11\nSize of the tree: 21\n',?,21,11,11
kc1-class-level-numericdefect,7,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20220726.1408,95,50,30,20,0,60,40,0,0.189627,0.395556,0.609113,81.393485,123.397761,49.081342,13987.42686,-13938.345518,0.981627,279.748537,-278.76691,8.601228,0.172025,17.524436,0.571429,12,0.37931,11,0.62069,18,0.428571,9,0.521739,0.571429,0.545455,0.190253,0.60509,0.485628,0.6,0.407882,0.592118,0.4,0.605797,0.6,0.601948,0.190253,0.60509,0.580068,0.594156,0.6,0.007,0,0,0,0,0,11363,81716,46211,74,65,'Number of leaves: 9\nSize of the tree: 17\n',?,17,9,9
kc1-class-level-numericdefect,8,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20220726.1408,97,48,31,17,0,64.583333,35.416667,0,0.244444,0.344618,0.560987,70.954289,113.78742,47.03461,8620.914615,-8573.880005,0.979888,179.602388,-178.6225,13.002966,0.270895,27.645527,0.45,9,0.214286,6,0.785714,22,0.55,11,0.6,0.45,0.514286,0.250713,0.719643,0.596667,0.645833,0.410119,0.589881,0.354167,0.638889,0.645833,0.635051,0.250713,0.719643,0.681223,0.617799,0.645833,0.016,0,0.02,0,20,0,13547,83294,44633,83.333333,64.583333,'Number of leaves: 15\nSize of the tree: 29\n',?,29,15,15
kc1-class-level-numericdefect,9,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20220726.1408,95,50,33,17,0,66,34,0,0.297521,0.348889,0.569167,71.790883,115.305199,49.081342,12909.545007,-12860.463665,0.981627,258.1909,-257.209273,13.665941,0.273319,27.843455,0.571429,12,0.275862,8,0.724138,21,0.428571,9,0.6,0.571429,0.585366,0.297775,0.60509,0.531568,0.66,0.364433,0.635567,0.34,0.658,0.66,0.658735,0.297775,0.60509,0.622037,0.648615,0.66,0.011,0,0.01,0,10,0,12091,81716,46211,70,54,'Number of leaves: 11\nSize of the tree: 21\n',?,21,11,11
